UserID,Name,Gender,DOB,Interests,Bio,City,Country
00006,Diane Jara,Male,1967-06-18,'Travel',Hi my name is Diane and my Interests are Travel,Belton,United States
00018,Sheldon Wentz,Female,1969-05-14,"'Cars and automobiles', 'Business and entrepreneurship', 'Nature', 'History'","Hi my name is Sheldon and my Interests are Cars and automobiles, Business and entrepreneurship, Nature, and History",Greenwood Village,United States
00041,Carrie Bruner,Female,1978-05-01,'Travel',Hi my name is Carrie and my Interests are Travel,El Reno,United States
00042,Diana French,Female,1992-08-23,"'Travel', 'Fitness'",Hi my name is Diana and my Interests are Travel and Fitness,Coram,United States
00051,Michael Fairbanks,Female,2003-11-22,"'Health and wellness', 'Health and wellness', 'Sports', 'Cars and automobiles'","Hi my name is Michael and my Interests are Health and wellness, Health and wellness, Sports, and Cars and automobiles",Granite Bay,United States
00055,David Haden,Male,2001-12-25,"'Movies', 'Social causes and activism', 'Business and entrepreneurship'","Hi my name is David and my Interests are Movies, Social causes and activism, and Business and entrepreneurship",Lubbock,United States
00064,Eric Rice,Male,1998-02-04,"'Fashion', 'Cars and automobiles'",Hi my name is Eric and my Interests are Fashion and Cars and automobiles,Ahwatukee Foothills,United States
00069,David Gibson,Male,1954-10-20,"'Books', 'DIY and crafts', 'Pets', 'Science'","Hi my name is David and my Interests are Books, DIY and crafts, Pets, and Science",Lynbrook,United States
00072,Jared Howard,Male,1967-09-21,"'Education and learning', 'Fitness', 'Outdoor activities', 'Gardening', 'Art'","Hi my name is Jared and my Interests are Education and learning, Fitness, Outdoor activities, Gardening, and Art",Canton,United States
00075,Michael Gamble,Male,1986-11-19,"'Nature', 'Gaming', 'Gardening'","Hi my name is Michael and my Interests are Nature, Gaming, and Gardening",Dana Point,United States
00077,Candy Camacho,Female,1972-03-02,'Education and learning',Hi my name is Candy and my Interests are Education and learning,Austin,United States
00083,Henry Lebowitz,Female,1996-04-29,"'Gardening', 'Photography'",Hi my name is Henry and my Interests are Gardening and Photography,Morristown,United States
00090,Anna Bolton,Male,1995-07-16,'Music',Hi my name is Anna and my Interests are Music,Salisbury,United States
00107,Lisa Blackwell,Male,1985-12-17,'Science',Hi my name is Lisa and my Interests are Science,Romulus,United States
00111,John Hendrickson,Male,1991-08-12,"'Fitness', 'Sports', 'Parenting and family'","Hi my name is John and my Interests are Fitness, Sports, and Parenting and family",Palm Valley,United States
00117,Shelby Barnes,Male,1986-03-18,"'Science', 'Politics', 'Politics'","Hi my name is Shelby and my Interests are Science, Politics, and Politics",Greenwood,United States
00118,John Tackett,Female,1989-12-09,'Health and wellness',Hi my name is John and my Interests are Health and wellness,Arnold,United States
00119,Rhonda Adam,Female,1965-06-05,"'Pets', 'Parenting and family', 'Nature'","Hi my name is Rhonda and my Interests are Pets, Parenting and family, and Nature",Cedar Park,United States
00123,Charles Murillo,Male,1954-03-18,"'Nature', 'Beauty', 'Sports'","Hi my name is Charles and my Interests are Nature, Beauty, and Sports",Flagstaff,United States
00135,Dorothy Dominguez,Male,1992-11-08,'Education and learning',Hi my name is Dorothy and my Interests are Education and learning,Ridgewood,United States
00141,Curt Anderson,Male,1958-05-03,'Travel',Hi my name is Curt and my Interests are Travel,Provo,United States
00148,Bryon Martin,Male,1999-11-09,'History',Hi my name is Bryon and my Interests are History,North Augusta,United States
00180,Anna Woloszyn,Male,1978-06-04,"'Outdoor activities', 'Politics', 'Food and dining', 'Nature', 'Fitness'","Hi my name is Anna and my Interests are Outdoor activities, Politics, Food and dining, Nature, and Fitness",Kahului,United States
00190,Adam Box,Female,1990-08-26,"'Music', 'Cooking'",Hi my name is Adam and my Interests are Music and Cooking,Rogers Park,United States
00207,Julie Allen,Female,1988-04-24,"'Technology', 'Health and wellness', 'Gaming', 'Social causes and activism'","Hi my name is Julie and my Interests are Technology, Health and wellness, Gaming, and Social causes and activism",Greater Upper Marlboro,United States
00236,Eugene Heck,Female,1996-08-30,"'Gaming', 'Nature'",Hi my name is Eugene and my Interests are Gaming and Nature,Arden-Arcade,United States
00255,Kenneth Waddell,Female,1965-01-24,"'Photography', 'Business and entrepreneurship', 'Cars and automobiles', 'Gaming', 'Books'","Hi my name is Kenneth and my Interests are Photography, Business and entrepreneurship, Cars and automobiles, Gaming, and Books",North Charleston,United States
00265,Lester Reid,Male,1988-04-25,'Art',Hi my name is Lester and my Interests are Art,El Dorado,United States
00266,Reginald Metz,Female,1999-08-27,"'Cars and automobiles', 'Fitness', 'Technology', 'Gardening'","Hi my name is Reginald and my Interests are Cars and automobiles, Fitness, Technology, and Gardening",Ballwin,United States
